index,seed,epsilon,learning_rate,mse_x100
119,676253911,10,0.0001,1.108037
301,1717030948,10,0.0001,0.983916
701,3845349337,10,0.0001,0.919951
342,1922497550,10,0.0001,0.957573
705,3861634509,10,0.0001,0.943369
32,184959732,10,0.0001,1.044697
220,1272288745,10,0.0001,0.9929
757,4066938914,10,0.0001,0.99585
595,3150390826,10,0.0001,0.981581
666,3579813917,10,0.0001,1.03858
707,3868251227,10,0.0001,0.873974
675,3666569384,10,0.0001,1.047657
87,541196390,10,0.0001,1.135839
672,3637080602,10,0.0001,0.994115
340,1912821113,10,0.0001,1.086138
73,458481199,10,0.0001,1.007856
778,4160976551,10,0.0001,1.047967
576,3071709870,10,0.0001,0.934205
26,151839516,10,0.0001,1.006037
125,706631431,10,0.0001,0.959727
190,1120274922,10,0.0001,1.016499
390,2145095870,10,0.0001,0.955223
644,3448916239,10,0.0001,1.013566
288,1652759665,10,0.0001,0.907834
638,3400455780,10,0.0001,1.071555
589,3118935322,10,0.0001,1.077608
251,1469407407,10,0.0001,0.961176
598,3175230534,10,0.0001,0.939117
794,4253578573,10,0.0001,1.066664
33,198446591,10,0.0001,0.948764
184,1069307391,10,0.0001,1.036783
741,4006811095,10,0.0001,0.924929
679,3679196966,10,0.0001,0.950186
652,3493870620,10,0.0001,0.972312
331,1868188737,10,0.0001,0.990048
501,2644009808,10,0.0001,0.929658
635,3386362128,10,0.0001,1.068242
508,2659716458,10,0.0001,1.002178
443,2371197261,10,0.0001,0.973273
507,2658514171,10,0.0001,0.980165
233,1355626407,10,0.0001,0.956902
566,3018634836,10,0.0001,1.0369
100,585489886,10,0.0001,1.004312
174,991190390,10,0.0001,1.013568
314,1796087701,10,0.0001,0.816027
489,2585143696,10,0.0001,1.05516
147,832261572,10,0.0001,1.089007
80,487066478,10,0.0001,1.019403
23,147424866,10,0.0001,0.985241
405,2211282408,10,0.0001,0.998736
89,554043425,10,0.0001,1.031349
315,1797484985,10,0.0001,0.894521
75,469337765,10,0.0001,0.960615
323,1834936228,10,0.0001,0.908043
436,2332185607,10,0.0001,1.040295
372,2092816440,10,0.0001,1.022327
493,2597160931,10,0.0001,0.986532
605,3210919292,10,0.0001,0.835035
693,3763401080,10,0.0001,1.210036
444,2373182733,10,0.0001,0.99589
362,2036095558,10,0.0001,1.001297
556,2982351522,10,0.0001,0.892609
628,3317131472,10,0.0001,1.010574
210,1224758575,10,0.0001,0.919328
428,2289677784,10,0.0001,1.01015
358,2001446305,10,0.0001,1.051392
141,759366544,10,0.0001,1.087958
579,3074781400,10,0.0001,1.055033
162,918982215,10,0.0001,1.034153
246,1428457261,10,0.0001,1.228708
495,2621082007,10,0.0001,0.93946
363,2042412822,10,0.0001,1.026976
1,2585565,10,0.0001,1.031774
740,4005091998,10,0.0001,1.013914
368,2083231923,10,0.0001,1.045739
109,641498662,10,0.0001,0.955394
115,672812068,10,0.0001,0.890925
555,2976126774,10,0.0001,1.034568
14,96603249,10,0.0001,0.938142
306,1741312855,10,0.0001,1.129811
180,1021872130,10,0.0001,0.958827
